x, y, 
-0.040000000000000036, -0.019999999999999574, 
0.009999999999999787, 0.03000000000000025, 
0.0600000000000005, 0.08000000000000007, 
0.11000000000000032, 0.1299999999999999, 
0.16000000000000014, 0.08000000000000007, 
0.20999999999999996, 0.1299999999999999, 
0.2599999999999998, 0.1800000000000006, 
0.3100000000000005, 0.23000000000000043, 
0.3600000000000003, 0.28000000000000025, 
0.41000000000000014, 0.33000000000000007, 
0.45999999999999996, 0.3799999999999999, 
0.5099999999999998, 0.4300000000000006, 
0.5600000000000005, 0.4800000000000004, 
0.6100000000000003, 0.5300000000000002, 
0.6600000000000001, 0.5800000000000001, 
0.6600000000000001, 0.6299999999999999, 
0.6600000000000001, 0.6800000000000006, 
0.6600000000000001, 0.7300000000000004, 
0.6600000000000001, 0.7800000000000002, 
0.6600000000000001, 0.8300000000000001, 
0.6600000000000001, 0.8799999999999999, 
0.6600000000000001, 0.9300000000000006, 
0.71, 0.9800000000000004, 
0.71, 1.0300000000000002, 
0.7599999999999998, 1.08, 
0.7599999999999998, 1.13, 
0.8100000000000005, 1.1800000000000006, 
0.8600000000000003, 1.2300000000000004, 
0.9100000000000001, 1.2800000000000002, 
0.96, 1.33, 
1.0099999999999998, 1.38, 
1.0600000000000005, 1.4300000000000006, 
1.1100000000000003, 1.4800000000000004, 
1.1600000000000001, 1.5300000000000002, 
1.21, 1.58, 
1.2599999999999998, 1.63, 
1.3100000000000005, 1.6800000000000006, 
1.3600000000000003, 1.7300000000000004, 
1.4100000000000001, 1.6800000000000006, 
1.46, 1.63, 
1.5099999999999998, 1.58, 
1.5600000000000005, 1.63, 
1.6099999999999994, 1.58, 
1.6600000000000001, 1.5300000000000002, 
1.7100000000000009, 1.4800000000000004, 
1.7599999999999998, 1.5300000000000002, 
1.8100000000000005, 1.4800000000000004, 
1.8599999999999994, 1.5300000000000002, 
1.9100000000000001, 1.4800000000000004, 
1.9600000000000009, 1.5300000000000002, 
2.01, 1.4800000000000004, 
2.0600000000000005, 1.5300000000000002, 
2.1099999999999994, 1.58, 
2.16, 1.5300000000000002, 
2.210000000000001, 1.58, 
2.26, 1.63, 
2.3100000000000005, 1.6800000000000006, 
2.3599999999999994, 1.7300000000000004, 
2.41, 1.7800000000000002, 
2.460000000000001, 1.83, 
2.51, 1.88, 
2.5600000000000005, 1.9300000000000006, 
2.6099999999999994, 1.9800000000000004, 
2.66, 2.0300000000000002, 
2.710000000000001, 2.08, 
2.76, 2.0300000000000002, 
2.8100000000000005, 1.9800000000000004, 
2.8599999999999994, 1.9300000000000006, 
2.91, 1.88, 
2.960000000000001, 1.83, 
3.01, 1.7800000000000002, 
3.0600000000000005, 1.7300000000000004, 
3.110000000000001, 1.6800000000000006, 
3.16, 1.63, 
3.210000000000001, 1.58, 
3.26, 1.5300000000000002, 
3.3100000000000005, 1.4800000000000004, 
3.360000000000001, 1.4300000000000006, 
3.41, 1.38, 
3.460000000000001, 1.33, 
3.51, 1.2800000000000002, 
3.5600000000000005, 1.2300000000000004, 
3.610000000000001, 1.1800000000000006, 
3.66, 1.13, 
3.710000000000001, 1.08, 
3.76, 1.0300000000000002, 
3.8100000000000005, 0.9800000000000004, 
3.860000000000001, 1.0300000000000002, 
3.91, 0.9800000000000004, 
3.960000000000001, 0.9300000000000006, 
4.01, 0.9800000000000004, 
4.0600000000000005, 0.9300000000000006, 
4.110000000000001, 0.9800000000000004, 
4.16, 0.9300000000000006, 
4.210000000000001, 0.9800000000000004, 
4.26, 1.0300000000000002, 
4.3100000000000005, 0.9800000000000004, 
4.360000000000001, 1.0300000000000002, 
4.41, 1.08, 
4.460000000000001, 1.13, 
4.51, 1.1800000000000006, 
4.51, 1.2300000000000004, 
4.5600000000000005, 1.2800000000000002, 
4.5600000000000005, 1.33, 
4.610000000000001, 1.38, 
4.610000000000001, 1.4300000000000006, 
4.66, 1.4800000000000004, 
4.66, 1.5300000000000002, 
4.66, 1.58, 
4.66, 1.63, 
4.66, 1.6800000000000006, 
4.610000000000001, 1.7300000000000004, 
4.610000000000001, 1.7800000000000002, 
4.5600000000000005, 1.83, 
4.5600000000000005, 1.88, 
4.51, 1.9300000000000006, 
4.51, 1.9800000000000004, 
4.460000000000001, 2.0300000000000002, 
4.41, 2.08, 
4.41, 2.13, 
4.41, 2.1800000000000006, 
4.360000000000001, 2.2300000000000004, 
