odom_x, odom_y, odom_theta, stamp, 
2.0556575108798825e-08, -2.4176431523414976e-08, 2.3833888541129843e-07, 1732745994.1336644, 
2.0556575108798825e-08, -2.4176431523414976e-08, 2.3833888541129843e-07, 1732745994.1940422, 
2.0556575108798825e-08, -2.4176431523414976e-08, 2.3833877172439803e-07, 1732745994.2444701, 
2.0556575108798825e-08, -2.4176431523414976e-08, 2.3833888541129843e-07, 1732745994.2944505, 
2.0556575108798825e-08, -2.4176431523414976e-08, 2.3833877172439803e-07, 1732745994.335474, 
2.0556575108798825e-08, -2.4176431523414976e-08, 2.3833888541129843e-07, 1732745994.3844044, 
2.0556575108798825e-08, -2.4176431523414976e-08, 2.3833877172439803e-07, 1732745994.434463, 
2.0556575108798825e-08, -2.4176431523414976e-08, 2.3833888541129843e-07, 1732745994.4845974, 
2.0556575108798825e-08, -2.4176431523414976e-08, 2.3833877172439803e-07, 1732745994.5945003, 
2.0556575108798825e-08, -2.4176431523414976e-08, 2.3833888541129843e-07, 1732745994.7354553, 
2.0556575108798825e-08, -2.4176431523414976e-08, 2.3833888541129843e-07, 1732745994.834467, 
2.0556575108798825e-08, -2.4176431523414976e-08, 2.3833888541129843e-07, 1732745994.934224, 
2.0556575108798825e-08, -2.4176431523414976e-08, 2.3833889888737835e-07, 1732745995.0404623, 
2.0556575108798825e-08, -2.4176431523414976e-08, 2.3833890075017852e-07, 1732745995.1404612, 
2.0556575108798825e-08, -2.4176431523414976e-08, 2.3833890075017852e-07, 1732745995.2345948, 
2.0556575108798825e-08, -2.4176431523414976e-08, 2.3833890075017852e-07, 1732745995.3341088, 
2.0556575108798825e-08, -2.4176431523414976e-08, 2.3833890075017852e-07, 1732745995.444467, 
2.0556575108798825e-08, -2.4176431523414976e-08, 2.3833890075017852e-07, 1732745995.5345793, 
2.0556575108798825e-08, -2.4176431523414976e-08, 2.3833890075017852e-07, 1732745995.6346023, 
2.0556575108798825e-08, -2.4176431523414976e-08, 2.3833890075017852e-07, 1732745995.734685, 
2.0556575108798825e-08, -2.4176431523414976e-08, 2.3833890075017852e-07, 1732745995.8445084, 
2.0556575108798825e-08, -2.4176431523414976e-08, 2.383386250029346e-07, 1732745995.938614, 
2.0556575108798825e-08, -2.4176431523414976e-08, 2.3833873982468632e-07, 1732745996.030647, 
2.0556575108798825e-08, -2.4176431523414976e-08, 2.3833790658632717e-07, 1732745996.1298532, 
2.0556575108798825e-08, -2.4176431523414976e-08, 2.3833633582519058e-07, 1732745996.2405515, 
2.0556575108798825e-08, -2.4176431523414976e-08, 2.383363142131205e-07, 1732745996.3386261, 
2.0556575108798825e-08, -2.4176431523414976e-08, 2.383363305793233e-07, 1732745996.4298058, 
2.0556575108798825e-08, -2.4176431523414976e-08, 2.3833628891252676e-07, 1732745996.5298302, 
2.0556575108798825e-08, -2.4176431523414976e-08, 2.3833738309460885e-07, 1732745996.639585, 
8.881784197001252e-15, -1.7763568394002505e-15, -8.078089317846349e-11, 1732745996.7400463, 
8.881784197001252e-15, -1.7763568394002505e-15, -8.126110874689553e-11, 1732745996.8299859, 
8.881784197001252e-15, -1.7763568394002505e-15, -8.179147510558671e-11, 1732745996.9303727, 
8.881784197001252e-15, -1.7763568394002505e-15, -8.172964426571166e-11, 1732745997.0389287, 
8.881784197001252e-15, -1.7763568394002505e-15, -8.261639429483933e-11, 1732745997.1390414, 
8.881784197001252e-15, -1.7763568394002505e-15, -8.261639429483933e-11, 1732745997.2336748, 
8.881784197001252e-15, -1.7763568394002505e-15, -8.261639429483933e-11, 1732745997.3347862, 
8.881784197001252e-15, -1.7763568394002505e-15, -8.261639429483933e-11, 1732745997.4438715, 
8.881784197001252e-15, -1.7763568394002505e-15, -8.261639429483933e-11, 1732745997.5339856, 
8.881784197001252e-15, -1.7763568394002505e-15, -8.261639429483933e-11, 1732745997.6340337, 
8.881784197001252e-15, -1.7763568394002505e-15, -8.261639429483933e-11, 1732745997.735498, 
8.881784197001252e-15, -1.7763568394002505e-15, -8.261639429483933e-11, 1732745997.7943306, 
8.881784197001252e-15, -1.7763568394002505e-15, -8.261639429483933e-11, 1732745998.243689, 
8.881784197001252e-15, -1.7763568394002505e-15, -8.261639429483933e-11, 1732745998.3344052, 
8.881784197001252e-15, -1.7763568394002505e-15, -8.261639429483933e-11, 1732745998.4344697, 
2.0556576885155664e-08, -2.4176427970701297e-08, 2.3833590725425664e-07, 1732745998.5304127, 
2.0556576885155664e-08, -2.4176427970701297e-08, 2.3833622311350214e-07, 1732745998.6445384, 
0.001588597777299583, 0.00016965741815511137, 0.013421041934784179, 1732745998.7345216, 
0.010559133253991604, 0.0006168159889057279, 0.05431097809778924, 1732745998.8345714, 
0.02013171836733818, 0.0014496054500341415, 0.09941690683476583, 1732745998.9291093, 
0.030892668291926384, 0.002945173066109419, 0.15837086654095572, 1732745999.044551, 
0.038628216832876205, 0.004610939882695675, 0.20167012745567656, 1732745999.1345403, 
0.047113291919231415, 0.006905149202793837, 0.2527630306312644, 1732745999.234482, 
0.054759372025728226, 0.009603519923985004, 0.30448539582841466, 1732745999.33035, 
0.06530207395553589, 0.01342813204973936, 0.35984237480222386, 1732745999.444544, 
0.07367928326129913, 0.01710151694715023, 0.3891667334868908, 1732745999.5345402, 
0.082472063601017, 0.020221570506691933, 0.39138966768252803, 1732745999.6345227, 
0.09022156149148941, 0.023863565176725388, 0.4268338161099954, 1732745999.7301474, 
0.10016843676567078, 0.028434237465262413, 0.4630919496501814, 1732745999.845574, 
0.107945516705513, 0.03256678581237793, 0.4862425948162474, 1732745999.9345493, 
0.11578169465065002, 0.037767067551612854, 0.5081252793590493, 1732746000.0338242, 
0.12402553856372833, 0.04355292022228241, 0.5298183893891761, 1732746000.1444676, 
0.13158942759037018, 0.04859102517366409, 0.5531403089076546, 1732746000.2455566, 
0.13736139237880707, 0.053379449993371964, 0.5905513670418505, 1732746000.3345242, 
0.14508740603923798, 0.05872330442070961, 0.6276582175240952, 1732746000.4345899, 
0.1533757895231247, 0.06555879861116409, 0.6550040201910254, 1732746000.5440674, 
0.16100162267684937, 0.07238762080669403, 0.6807008216091396, 1732746000.644881, 
0.16745105385780334, 0.07786011695861816, 0.7020267037912301, 1732746000.7355647, 
0.17406366765499115, 0.08430427312850952, 0.724038377799118, 1732746000.8346028, 
0.18083827197551727, 0.09091932326555252, 0.748585034048683, 1732746000.9310796, 
0.18763914704322815, 0.09821105748414993, 0.7670968137186481, 1732746001.046555, 
0.19324159622192383, 0.1043248176574707, 0.7781901727227197, 1732746001.1345694, 
0.19920560717582703, 0.1109701469540596, 0.7921425173023259, 1732746001.234632, 
0.20520687103271484, 0.11728212982416153, 0.8051986673761694, 1732746001.3312473, 
0.21173077821731567, 0.12478027492761612, 0.8133484848013676, 1732746001.4457011, 
0.21722202003002167, 0.13116909563541412, 0.8216349900020945, 1732746001.534576, 
0.2239079624414444, 0.13882209360599518, 0.827738826189792, 1732746001.633695, 
0.2305605262517929, 0.14576472342014313, 0.8337013653960309, 1732746001.731824, 
0.2379961609840393, 0.15408512949943542, 0.8370670607317487, 1732746001.8425882, 
0.24430538713932037, 0.16098903119564056, 0.839515196524446, 1732746001.9345815, 
0.2507299482822418, 0.16810286045074463, 0.8398558030625773, 1732746002.0336847, 
0.2571677565574646, 0.1752977818250656, 0.8405539868538359, 1732746002.1318402, 
0.26431599259376526, 0.1832839697599411, 0.8402302364991724, 1732746002.2426245, 
0.2703242599964142, 0.1901659518480301, 0.8389947939823371, 1732746002.3345883, 
0.27678829431533813, 0.1973661631345749, 0.837166833949586, 1732746002.4336946, 
0.2833504378795624, 0.20460619032382965, 0.8346060687670313, 1732746002.5318604, 
0.2910314202308655, 0.21274669468402863, 0.8340168420767065, 1732746002.6425958, 
0.2973191440105438, 0.21944746375083923, 0.8332462989946426, 1732746002.7345693, 
0.3042420744895935, 0.2266039103269577, 0.8318531610505266, 1732746002.8355384, 
0.3105144500732422, 0.2336275428533554, 0.82883678614966, 1732746002.9322872, 
0.3181441128253937, 0.24176567792892456, 0.827618601399719, 1732746003.0436144, 
0.32413506507873535, 0.24826852977275848, 0.8254626921051241, 1732746003.1345992, 
0.3308418095111847, 0.25551778078079224, 0.8232066593132442, 1732746003.234711, 
0.3375296890735626, 0.2625809609889984, 0.8196452225342445, 1732746003.3328884, 
0.34501516819000244, 0.270414799451828, 0.8173145483123192, 1732746003.4436257, 
0.351316899061203, 0.27699363231658936, 0.8164422983791186, 1732746003.5356095, 
0.3582525849342346, 0.28398847579956055, 0.814856758909392, 1732746003.6355858, 
0.36587586998939514, 0.29197758436203003, 0.8110575030928032, 1732746003.7456143, 
0.37280791997909546, 0.2991211414337158, 0.8072789871905441, 1732746003.8436267, 
0.37901562452316284, 0.30568838119506836, 0.806035527277688, 1732746003.9356105, 
0.385892391204834, 0.3129030764102936, 0.8041657287975108, 1732746004.0357132, 
0.3927913308143616, 0.3200516998767853, 0.8021399271014361, 1732746004.1336198, 
0.40027084946632385, 0.3278365433216095, 0.8023867218242384, 1732746004.2436206, 
0.4069231450557709, 0.3343469202518463, 0.8010086550528603, 1732746004.3356216, 
0.4136927127838135, 0.34129902720451355, 0.8006586408658033, 1732746004.436786, 
0.4203590452671051, 0.34815555810928345, 0.7993532713581087, 1732746004.5329213, 
