odom_x, odom_y, odom_theta, stamp, 
0.0, 0.0, -5.1937250577482957e-14, 1732747001.6085925, 
0.0, 0.0, -7.130243266073115e-14, 1732747001.7051208, 
0.0, 0.0, -6.767260575821288e-13, 1732747001.7982116, 
0.0, 0.0, -5.296319919691006e-13, 1732747001.9082806, 
0.0, 0.0, -1.7056521741652317e-12, 1732747002.008415, 
0.0, 0.0, -2.2454867045514156e-12, 1732747002.1051025, 
0.0, 0.0, -3.1793076107808092e-12, 1732747002.1981184, 
0.0, 0.0, -4.476953497797725e-12, 1732747002.2991939, 
0.0, 0.0, -5.4260153314867775e-12, 1732747002.4078448, 
0.0, 0.0, -6.8965141014115595e-12, 1732747002.5051246, 
2.0556544910732555e-08, -2.417645106334021e-08, 2.3841040198606766e-07, 1732747002.5980742, 
2.0556544910732555e-08, -2.417645106334021e-08, 2.3840986499389375e-07, 1732747002.7001, 
2.0556544910732555e-08, -2.417645106334021e-08, 2.3840880007484769e-07, 1732747002.8084204, 
2.0556544910732555e-08, -2.417645106334021e-08, 2.3840822862183694e-07, 1732747002.906236, 
2.0556544910732555e-08, -2.417645106334021e-08, 2.3840841757122873e-07, 1732747002.9992526, 
4.111308982146511e-08, -4.835290212668042e-08, 4.768271020339385e-07, 1732747003.10881, 
4.111308982146511e-08, -4.835290212668042e-08, 4.7682699673865833e-07, 1732747003.1893797, 
4.111308982146511e-08, -4.835290212668042e-08, 4.76824949652933e-07, 1732747003.3062534, 
4.111308982146511e-08, -4.835290212668042e-08, 4.7682432155517785e-07, 1732747003.3992157, 
2.0556546687089394e-08, -2.417645461605389e-08, 2.3840388920034808e-07, 1732747003.4962833, 
2.0556546687089394e-08, -2.417645461605389e-08, 2.384036449897679e-07, 1732747003.6082735, 
2.0556546687089394e-08, -2.417645461605389e-08, 2.3840378968987117e-07, 1732747003.7062426, 
2.0556546687089394e-08, -2.417645461605389e-08, 2.384043067957798e-07, 1732747003.799279, 
2.0556546687089394e-08, -2.417645461605389e-08, 2.3840536800595094e-07, 1732747003.8964427, 
2.0556546687089394e-08, -2.417645461605389e-08, 2.384065329836402e-07, 1732747003.9895031, 
2.0556546687089394e-08, -2.417645461605389e-08, 2.3840790010837226e-07, 1732747004.1061423, 
2.0556546687089394e-08, -2.417645461605389e-08, 2.384077918028741e-07, 1732747004.1981778, 
2.0556546687089394e-08, -2.417645461605389e-08, 2.3840742381159076e-07, 1732747004.297354, 
2.0556546687089394e-08, -2.417645461605389e-08, 2.3840678991790814e-07, 1732747004.3895013, 
2.0556546687089394e-08, -2.417645461605389e-08, 2.3840688948851457e-07, 1732747004.5071476, 
2.0556546687089394e-08, -2.417645461605389e-08, 2.384066563429469e-07, 1732747004.5980973, 
2.0556546687089394e-08, -2.417645461605389e-08, 2.3840543622118536e-07, 1732747004.6971734, 
2.0556546687089394e-08, -2.417645461605389e-08, 2.3840532566869014e-07, 1732747004.8088148, 
2.0556546687089394e-08, -2.417645461605389e-08, 2.38405760574275e-07, 1732747004.9071522, 
2.0556546687089394e-08, -2.417645461605389e-08, 2.3840543637656829e-07, 1732747004.998104, 
2.0556546687089394e-08, -2.417645461605389e-08, 2.3840394340113553e-07, 1732747005.0971296, 
2.0556546687089394e-08, -2.417645461605389e-08, 2.3840262284335166e-07, 1732747005.2097554, 
2.0556546687089394e-08, -2.417645461605389e-08, 2.384016038315832e-07, 1732747005.307161, 
2.0556546687089394e-08, -2.417645461605389e-08, 2.38400293907092e-07, 1732747005.400108, 
2.0556546687089394e-08, -2.417645461605389e-08, 2.3839926827319445e-07, 1732747005.4971328, 
2.0556546687089394e-08, -2.417645461605389e-08, 2.38398814872608e-07, 1732747005.5904648, 
2.0556546687089394e-08, -2.417645461605389e-08, 2.3839831519246327e-07, 1732747005.7071598, 
2.0556546687089394e-08, -2.417645461605389e-08, 2.383983115766045e-07, 1732747005.79911, 
2.0556546687089394e-08, -2.417645461605389e-08, 2.3839809664202606e-07, 1732747005.8981643, 
2.0556546687089394e-08, -2.417645461605389e-08, 2.3839805444774953e-07, 1732747006.0108106, 
2.0556546687089394e-08, -2.417645461605389e-08, 2.3839856714397629e-07, 1732747006.108167, 
2.0556546687089394e-08, -2.417645461605389e-08, 2.3840000950538075e-07, 1732747006.1991742, 
2.0556546687089394e-08, -2.417645461605389e-08, 2.384012613725677e-07, 1732747006.298142, 
2.0556546687089394e-08, -2.417645461605389e-08, 2.3840243446900075e-07, 1732747006.4077225, 
2.0556546687089394e-08, -2.417645461605389e-08, 2.384035121386809e-07, 1732747006.5081713, 
2.0556546687089394e-08, -2.417645461605389e-08, 2.384046824222279e-07, 1732747006.5991542, 
2.0556546687089394e-08, -2.417645461605389e-08, 2.3840475333093013e-07, 1732747006.698198, 
2.0556546687089394e-08, -2.417645461605389e-08, 2.3840427398289924e-07, 1732747006.789424, 
2.0556546687089394e-08, -2.417645461605389e-08, 2.384040211702558e-07, 1732747006.9081788, 
2.0556546687089394e-08, -2.417645461605389e-08, 2.3840409133902825e-07, 1732747006.9991279, 
2.0556546687089394e-08, -2.417645461605389e-08, 2.3840470100751453e-07, 1732747007.0984883, 
