odom_x, odom_y, odom_theta, stamp, 
-6.166960986320191e-08, 7.252936029544799e-08, -7.152698755829487e-07, 1732746869.9013546, 
-6.166960986320191e-08, 7.252936029544799e-08, -7.152692950670732e-07, 1732746869.9515045, 
-6.166960986320191e-08, 7.252936029544799e-08, -7.152687834758185e-07, 1732746870.0015116, 
-6.166960986320191e-08, 7.252936029544799e-08, -7.152680469348393e-07, 1732746870.0525305, 
-6.166960986320191e-08, 7.252936029544799e-08, -7.152671717474125e-07, 1732746870.097626, 
-6.166960986320191e-08, 7.252936029544799e-08, -7.152661485649399e-07, 1732746870.142557, 
-6.166960986320191e-08, 7.252936029544799e-08, -7.152653034618269e-07, 1732746870.2119675, 
-6.166960986320191e-08, 7.252936029544799e-08, -7.152648487140613e-07, 1732746870.2408772, 
-6.166960986320191e-08, 7.252936029544799e-08, -7.152639712455169e-07, 1732746870.3009436, 
-6.166960986320191e-08, 7.252936029544799e-08, -7.152627996665025e-07, 1732746870.3515325, 
-6.166960986320191e-08, 7.252936029544799e-08, -7.152614922666374e-07, 1732746870.4006846, 
-6.166960986320191e-08, 7.252936029544799e-08, -7.152615757361388e-07, 1732746870.4525115, 
-6.166960986320191e-08, 7.252936029544799e-08, -7.152617306342258e-07, 1732746870.4976554, 
-6.166960986320191e-08, 7.252936029544799e-08, -7.152613732255915e-07, 1732746870.5909054, 
-6.166960986320191e-08, 7.252936029544799e-08, -7.152608074255883e-07, 1732746870.692052, 
-6.166960986320191e-08, 7.252936029544799e-08, -7.152603983871287e-07, 1732746870.801561, 
-8.222614411579343e-08, 9.670581846421555e-08, -9.536802754075516e-07, 1732746870.8977733, 
-8.222614411579343e-08, 9.670581846421555e-08, -9.53680320112914e-07, 1732746871.0120373, 
-8.222614411579343e-08, 9.670581846421555e-08, -9.536803241430379e-07, 1732746871.1013134, 
-8.222614411579343e-08, 9.670581846421555e-08, -9.536805413641288e-07, 1732746871.201474, 
-8.222614411579343e-08, 9.670581846421555e-08, -9.536806139256155e-07, 1732746871.29852, 
-8.222614411579343e-08, 9.670581846421555e-08, -9.53680431509468e-07, 1732746871.391558, 
-8.222614411579343e-08, 9.670581846421555e-08, -9.536788591638316e-07, 1732746871.502628, 
-8.222614411579343e-08, 9.670581846421555e-08, -9.536778575321166e-07, 1732746871.600786, 
-6.166960986320191e-08, 7.252936029544799e-08, -7.152569394730067e-07, 1732746871.6984992, 
-6.166960986320191e-08, 7.252936029544799e-08, -7.152574740004388e-07, 1732746871.7915535, 
-6.166960986320191e-08, 7.252936029544799e-08, -7.152573884405362e-07, 1732746871.9011369, 
-6.166960986320191e-08, 7.252936029544799e-08, -7.152565490900631e-07, 1732746872.0014813, 
-6.166960986320191e-08, 7.252936029544799e-08, -7.152560026118591e-07, 1732746872.099535, 
-6.166960986320191e-08, 7.252936029544799e-08, -7.152555656389266e-07, 1732746872.2096233, 
-6.166960986320191e-08, 7.252936029544799e-08, -7.152550148228438e-07, 1732746872.3018203, 
-6.166960986320191e-08, 7.252936029544799e-08, -7.152535452863917e-07, 1732746872.4014606, 
-6.166960986320191e-08, 7.252936029544799e-08, -7.152534276646389e-07, 1732746872.4995098, 
-6.166960986320191e-08, 7.252936029544799e-08, -7.152545953604435e-07, 1732746872.5914073, 
-4.111306850518304e-08, 4.83529056793941e-08, -4.768359796724982e-07, 1732746872.701655, 
-4.111306850518304e-08, 4.83529056793941e-08, -4.7683629694031847e-07, 1732746872.8014944, 
-4.111306850518304e-08, 4.83529056793941e-08, -4.768359298590628e-07, 1732746872.8995142, 
-4.111306850518304e-08, 4.83529056793941e-08, -4.768355191981304e-07, 1732746873.0090165, 
-4.111306850518304e-08, 4.83529056793941e-08, -4.7683570658983315e-07, 1732746873.0894876, 
-4.111306850518304e-08, 4.83529056793941e-08, -4.768355992141518e-07, 1732746873.2024913, 
-4.111306850518304e-08, 4.83529056793941e-08, -4.7683526315230605e-07, 1732746873.2495263, 
-4.111306850518304e-08, 4.83529056793941e-08, -4.76834827079003e-07, 1732746873.3407412, 
-4.111306850518304e-08, 4.83529056793941e-08, -4.7683449106857415e-07, 1732746873.5025482, 
-4.111306850518304e-08, 4.83529056793941e-08, -4.7683445906886287e-07, 1732746873.6026359, 
-4.111306850518304e-08, 4.83529056793941e-08, -4.7683496738979136e-07, 1732746873.700341, 
-4.111306850518304e-08, 4.83529056793941e-08, -4.7683585247436827e-07, 1732746873.81032, 
-4.111306850518304e-08, 4.83529056793941e-08, -4.768373748967264e-07, 1732746873.902344, 
-4.111306850518304e-08, 4.83529056793941e-08, -4.768388795492861e-07, 1732746874.001655, 
-4.111306850518304e-08, 4.83529056793941e-08, -4.768389263949128e-07, 1732746874.099706, 
-6.16695956523472e-08, 7.252936740087534e-08, -7.15257230779801e-07, 1732746874.2105236, 
-6.16695956523472e-08, 7.252936740087534e-08, -7.152577286423402e-07, 1732746874.301832, 
