odom_x, odom_y, odom_theta, stamp, 
0.0, 0.0, 2.2018941789928138e-13, 1732747258.4021273, 
0.0, 0.0, 2.2018941789928138e-13, 1732747258.5016592, 
0.0, 0.0, -7.184577968429779e-15, 1732747258.611687, 
0.0, 0.0, 9.797005316332908e-14, 1732747258.7080255, 
0.0, 0.0, -1.5107460483091262e-12, 1732747258.8060517, 
0.0, 0.0, -3.877483546995923e-12, 1732747258.8980517, 
0.0, 0.0, -4.829417704715734e-12, 1732747259.016358, 
0.0, 0.0, -6.767585913163555e-12, 1732747259.1076355, 
0.0, 0.0, -9.076235865056313e-12, 1732747259.2075622, 
0.0, 0.0, -9.03108035026531e-12, 1732747259.2985914, 
2.0556578661512503e-08, -2.417642264163078e-08, 2.3840941197905792e-07, 1732747259.417095, 
2.0556578661512503e-08, -2.417642264163078e-08, 2.3840949868345483e-07, 1732747259.507612, 
2.0556578661512503e-08, -2.417642264163078e-08, 2.3840811502055685e-07, 1732747259.607568, 
2.0556578661512503e-08, -2.417642264163078e-08, 2.3840811502055685e-07, 1732747259.7025971, 
2.0556578661512503e-08, -2.417642264163078e-08, 2.3840811502055685e-07, 1732747259.8030455, 
2.0556578661512503e-08, -2.417642264163078e-08, 2.3840811502055685e-07, 1732747259.9126365, 
2.0556578661512503e-08, -2.417642264163078e-08, 2.3840811502055685e-07, 1732747260.0025737, 
2.0556578661512503e-08, -2.417642264163078e-08, 2.3840811502055685e-07, 1732747260.1025987, 
2.0556578661512503e-08, -2.417642264163078e-08, 2.3840811502055685e-07, 1732747260.212326, 
2.0556578661512503e-08, -2.417642264163078e-08, 2.3840811502055685e-07, 1732747260.3126159, 
2.0556578661512503e-08, -2.417642264163078e-08, 2.3840811502055685e-07, 1732747260.4025784, 
2.0556578661512503e-08, -2.417642264163078e-08, 2.3840811502055685e-07, 1732747260.4525778, 
2.0556578661512503e-08, -2.417642264163078e-08, 2.3840811502055685e-07, 1732747260.602936, 
2.0556578661512503e-08, -2.417642264163078e-08, 2.3840811502055685e-07, 1732747260.7116604, 
2.0556578661512503e-08, -2.417642264163078e-08, 2.3840811502055685e-07, 1732747260.802586, 
2.0556578661512503e-08, -2.417642264163078e-08, 2.3840811502055685e-07, 1732747260.9018633, 
